Date,Value,Value
06-06-16,4826.8100000000004,2052.3200000000002
06-03-16,4805.1400000000003,2040.04
06-02-16,4751.17,2047.63
06-01-16,4765.84,2047.21
05-31-16,4786.87,2066.66
05-30-16,4797.51,2046.61
05-27-16,4791.88,2064.11
05-26-16,4793.87,2064.46
05-25-16,4768.18,2084.39
05-24-16,4713.45,2058.69
05-23-16,4674.6499999999996,2057.14
05-20-16,4687.68,2050.63
05-19-16,4645.09,2051.12
05-18-16,4711.5200000000004,2063.37
05-17-16,4715.74,2081.4299999999998
05-16-16,4697.04,2065.3000000000002
05-13-16,4674.45,2075.81
05-12-16,4714.28,2095.15
05-11-16,4733.3999999999996,2091.6999999999998
05-10-16,4729.96,2087.79
05-09-16,4678.28,2091.58
05-06-16,4685.72,2091.48
05-05-16,4691.88,2102.4
05-04-16,4705.9799999999996,2100.8000000000002
05-03-16,4767,2094.34
05-02-16,4823.04,2080.73
04-29-16,4841.6000000000004,2082.7800000000002
04-28-16,4851.59,2082.42
04-27-16,4844.76,2061.7199999999998
04-26-16,4852.04,2041.99
04-25-16,4844.07,2047.6
04-22-16,4855.54,2041.91
04-21-16,4887.3999999999996,2066.66
04-20-16,4884.84,2045.17
04-19-16,4875.92,2066.13
04-18-16,4773.05,2072.7800000000002
04-15-16,4783.3,2059.7399999999998
04-14-16,4787.47,2063.9499999999998
04-13-16,4745.79,2055.0100000000002
04-12-16,4662.87,2037.05
04-11-16,4642.6400000000003,2035.94
04-08-16,4621.4399999999996,2036.71
04-07-16,4565.99,2049.8000000000002
04-06-16,4563.3,2051.6
04-05-16,4532.76,2049.58
04-04-16,4618.87,2040.59
04-01-16,4592.43,2027.22
03-31-16,4690.7700000000004,2015.93
03-30-16,4712.9799999999996,2019.64
03-29-16,4623.28,2022.19
03-28-16,4618.62,1989.57
03-25-16,4594.37,1989.26
03-24-16,4583.92,1979.26
03-23-16,4644.9399999999996,2001.76
03-22-16,4684.34,1999.99
03-21-16,4681.1099999999997,1993.4
03-18-16,4700.3900000000003,1986.45
03-17-16,4711.7299999999996,1978.35
03-16-16,4603.8900000000003,1932.23
03-15-16,4625.97,1948.05
03-14-16,4668.9399999999996,1951.7
03-11-16,4650.78,1929.8
03-10-16,4558.26,1921.27
03-09-16,4565.82,1945.5
03-08-16,4564.3500000000004,1917.78
03-07-16,4584.8500000000004,1917.83
03-04-16,4593.5600000000004,1926.82
03-03-16,4546.3100000000004,1895.58
03-02-16,4497.26,1864.78
03-01-16,4436.08,1829.08
02-29-16,4392.5600000000004,1851.86
02-26-16,4390.42,1852.21
02-25-16,4377,1853.44
02-24-16,4313.55,1880.05
02-23-16,4383.6400000000003,1915.45
02-22-16,4423.87,1912.53
02-19-16,4377.34,1903.03
02-18-16,4414.57,1939.38
02-17-16,4386.1499999999996,1940.24
02-16-16,4321.18,1893.36
02-15-16,4314.55,1882.95
02-12-16,4192.51,1903.63
02-11-16,4189.62,1877.08
02-10-16,4236.8500000000004,1906.9
02-09-16,4250.07,1868.99
02-08-16,4313.34,1859.33
02-05-16,4395.3599999999997,1881.33
02-04-16,4444.9799999999996,1880.33
02-03-16,4399.7700000000004,1921.84
02-02-16,4417.2299999999996,1890.28
02-01-16,4487.12,1938.68
01-29-16,4454.78,1923.67
01-28-16,4404.66,1922.03
01-27-16,4425.76,1943.09
01-26-16,4384.3599999999997,1990.26
01-25-16,4371.9399999999996,2016.71
01-22-16,4380.5600000000004,2012.66
01-21-16,4237.76,2043.94
01-20-16,4224.17,2063.36
01-19-16,4353.3599999999997,2078.36
01-18-16,4307.13,2056.5
01-15-16,4355.54,2060.9899999999998
01-14-16,4413.3900000000003,2064.29
01-13-16,4483.1400000000003,2038.97
01-12-16,4440.8900000000003,2021.15
01-11-16,4460.33,2005.55
01-08-16,4489.55,2041.89
01-07-16,4522.18,2073.0700000000002
01-06-16,4599.58,2043.41
01-05-16,4651.12,2021.94
01-04-16,4665.6099999999997,2012.37
01-01-16,4784.1000000000004,2052.23
12-31-15,4784.1000000000004,2047.62
12-30-15,4816.74,2063.59
12-29-15,4831.22,2077.0700000000002
12-28-15,4796.2,2091.69
12-25-15,4800.54,2049.62
12-24-15,4805.41,2079.5100000000002
12-23-15,4776.74,2102.63
12-22-15,4713.49,2080.41
12-21-15,4693.6099999999997,2090.11
12-18-15,4706.8999999999996,2088.87
12-17-15,4738.67,2089.14
12-16-15,4729.08,2086.59
12-15-15,4674.63,2089.17
12-14-15,4646.1000000000004,2081.2399999999998
12-11-15,4712.41,2083.58
12-10-15,4761.26,2050.44
12-09-15,4780.08,2053.19
12-08-15,4769.75,2023.04
12-07-15,4838.4799999999996,2045.97
12-04-15,4844.05,2075
12-03-15,4864.8100000000004,2081.7199999999998
12-02-15,4889.3599999999997,2078.58
12-01-15,4908.3999999999996,2099.1999999999998
11-30-15,4871.47,2099.9299999999998
11-27-15,4879.72,2102.31
11-26-15,4909.1499999999996,2109.79
11-25-15,4866.4799999999996,2104.0500000000002
11-24-15,4850.54,2079.36
11-23-15,4874.01,2089.41
11-20-15,4904.6099999999997,2090.35
11-19-15,4914.26,2065.89
11-18-15,4841.08,2071.1799999999998
11-17-15,4844.57,2075.15
11-16-15,4774.3900000000003,2052.5100000000002
11-13-15,4781.9399999999996,2018.94
11-12-15,4826.8500000000004,2030.77
11-11-15,4870.08,2033.66
11-10-15,4835.6400000000003,2033.11
11-09-15,4853.59,2023.86
11-06-15,4874.59,1994.24
11-05-15,4916.03,2003.69
11-04-15,4926.58,2017.46
11-03-15,4928.5,2014.89
11-02-15,4931.72,2013.43
10-30-15,4950.25,1995.83
10-29-15,4924.6499999999996,1979.92
10-28-15,4971.16,1987.05
10-27-15,4930.97,1951.36
10-26-15,4975.0200000000004,1923.82
10-23-15,4973.88,1920.03
10-22-15,4927.24,1884.09
10-21-15,4918.8,1881.77
10-20-15,4908.32,1931.34
10-19-15,4913.92,1932.24
10-16-15,4940.2299999999996,1938.76
10-15-15,4916.34,1942.74
10-14-15,4857.6400000000003,1966.97
10-13-15,4882.2,1958.03
10-12-15,4928.93,1990.2
10-09-15,4930.1000000000004,1995.31
10-08-15,4863.55,1978.09
10-07-15,4850.26,1953.03
10-06-15,4816.6400000000003,1961.05
10-05-15,4766.95,1952.29
10-02-15,4672.7299999999996,1942.04
10-01-15,4634.1099999999997,1969.41
09-30-15,4603.87,1921.22
09-29-15,4505.47,1951.13
09-28-15,4579.07,1948.86
09-25-15,4642.0600000000004,1913.85
09-24-15,4585.3100000000004,1972.18
09-23-15,4626.79,1988.87
09-22-15,4640.22,1987.66
09-21-15,4754.41,1940.51
09-18-15,4793.38,1867.61
09-17-15,4841.38,1893.21
09-16-15,4831.6000000000004,1970.89
09-15-15,4751.32,2035.73
09-14-15,4738.8100000000004,2079.61
09-11-15,4758.6000000000004,2096.92
09-10-15,4776.87,2102.44
09-09-15,4829.03,2091.54
09-08-15,4728.42,2083.39
09-07-15,4691.6000000000004,2086.0500000000002
09-04-15,4670.7700000000004,2084.0700000000002
09-03-15,4761.53,2104.1799999999998
09-02-15,4719.6899999999996,2077.5700000000002
09-01-15,4732.41,2083.56
08-31-15,4848.6400000000003,2099.84
08-28-15,4879.6899999999996,2093.3200000000002
08-27-15,4833.59,2098.04
08-26-15,4756.29,2103.84
08-25-15,4770.43,2108.63
08-24-15,4724.49,2108.5700000000002
08-21-15,4890.33,2093.25
08-20-15,4998.24,2067.64
08-19-15,5046.8100000000004,2079.65
08-18-15,5114.67,2102.15
08-17-15,5128.8599999999997,2114.15
08-14-15,5131.13,2119.21
08-13-15,5140.93,2128.2800000000002
08-12-15,5134.0600000000004,2126.64
08-11-15,5190.3599999999997,2124.29
08-10-15,5240.3999999999996,2107.4
08-07-15,5196.51,2108.9499999999998
08-06-15,5213.5200000000004,2099.6
08-05-15,5223.66,2076.62
08-04-15,5219.47,2051.31
08-03-15,5220.2700000000004,2046.68
07-31-15,5229.58,2081.34
07-30-15,5173.33,2068.7600000000002
07-29-15,5182.1400000000003,2076.7800000000002
07-28-15,5138.46,2077.42
07-27-15,5130.59,2063.11
07-24-15,5169.99,2057.64
07-23-15,5216.2299999999996,2101.4899999999998
07-22-15,5202.9799999999996,2102.31
07-21-15,5263.99,2108.58
07-20-15,5261.74,2124.1999999999998
07-17-15,5257.5,2122.85
07-16-15,5272.64,2109.9899999999998
07-15-15,5231.8500000000004,2121.2399999999998
07-14-15,5233.3900000000003,2100.44
07-13-15,5192.25,2096.29
07-10-15,5161.78,2084.4299999999998
07-09-15,5065.84,2094.11
07-08-15,5007.62,2108.86
07-07-15,5014.72,2105.1999999999998
07-06-15,5087.7700000000004,2080.15
07-03-15,5165.4399999999996,2079.2800000000002
07-02-15,5184.5,2092.83
07-01-15,5180.93,2095.84
06-30-15,5147.97,2114.0700000000002
06-29-15,5182.75,2109.6
06-26-15,5303.87,2111.73
06-25-15,5334.94,2107.39
06-24-15,5342.74,2120.79
06-23-15,5359.48,2123.48
06-22-15,5365.38,2104.1999999999998
06-19-15,5258.55,2126.06
06-18-15,5261.69,2130.8200000000002
06-17-15,5202.05,2125.85
06-16-15,5227.26,2127.83
06-15-15,5221.4399999999996,2129.1999999999998
06-12-15,5280.08,2122.73
06-11-15,5295.47,2121.1
06-10-15,5289.64,2098.48
06-09-15,5197.51,2099.12
06-08-15,5203.8500000000004,2105.33
06-05-15,5214.4799999999996,2116.1
06-04-15,5312.83,2088
06-03-15,5351.39,2080.15
06-02-15,5314.89,2089.46
06-01-15,5278.54,2114.4899999999998
05-29-15,5298.6,2108.29
05-28-15,5338.25,2085.5100000000002
05-27-15,5343.45,2106.85
05-26-15,5319.94,2114.7600000000002
05-25-15,5404.86,2108.92
05-22-15,5402.56,2117.69
05-21-15,5437.5,2112.9299999999998
05-20-15,5405.85,2107.96
05-19-15,5400.66,2097.29
05-18-15,5430.57,2100.4
05-15-15,5440.48,2081.1799999999998
05-14-15,5421.13,2104.9899999999998
05-13-15,5399.92,2106.63
05-12-15,5359.85,2095.84
05-11-15,5367.69,2092.4299999999998
05-08-15,5367.96,2102.06
05-07-15,5280.94,2091.1799999999998
05-06-15,5329.36,2081.9
05-05-15,5303.49,2076.33
05-04-15,5338.94,2080.62
05-01-15,5333.06,2066.96
04-30-15,5344.99,2059.69
04-29-15,5392.15,2067.89
04-28-15,5418.28,2086.2399999999998
04-27-15,5421.87,2061.02
04-24-15,5379.68,2056.15
04-23-15,5339.05,2061.0500000000002
04-22-15,5315.56,2091.5
04-21-15,5316.88,2104.42
04-20-15,5287.42,2108.1
04-17-15,5278.09,2089.27
04-16-15,5318.76,2099.5
04-15-15,5293.15,2074.2800000000002
04-14-15,5301.67,2081.19
04-13-15,5258.14,2053.4
04-10-15,5276.56,2065.9499999999998
04-09-15,5259.63,2040.24
04-08-15,5252.95,2044.16
04-07-15,5257.27,2079.4299999999998
04-06-15,5242.98,2071.2600000000002
04-03-15,5191.2700000000004,2101.04
04-02-15,5184.93,2098.5300000000002
04-01-15,5131.58,2107.7800000000002
03-31-15,5123.1899999999996,2117.39
03-30-15,5177.4799999999996,2104.5
03-27-15,5174.5200000000004,2110.7399999999998
03-26-15,5184.93,2113.86
03-25-15,5248.82,2115.48
03-24-15,5255.74,2109.66
03-23-15,5251.49,2110.3000000000002
03-20-15,5213.9399999999996,2097.4499999999998
03-19-15,5113.8100000000004,2099.6799999999998
03-18-15,5099.3,2100.34
03-17-15,5062.3,2096.9899999999998
03-16-15,5064.95,2088.48
03-13-15,5016.67,2068.5300000000002
03-12-15,5036.58,2068.59
03-11-15,4996.54,2046.74
03-10-15,4996.1000000000004,2055.4699999999998
03-09-15,5081.79,2062.52
03-06-15,5109.46,2041.51
03-05-15,5159.93,2050.0300000000002
03-04-15,5147.6400000000003,2020.85
03-03-15,5169.22,1994.99
03-02-15,5193.24,2021.25
02-27-15,5210.22,2002.16
02-26-15,5196.7,2029.55
02-25-15,5205.34,2057.09
02-24-15,5188.71,2051.8200000000002
02-23-15,5173.53,2063.15
02-20-15,5155.21,2032.12
02-19-15,5148.01,2022.55
02-18-15,5127.34,2019.42
02-17-15,5096.5600000000004,1992.67
02-16-15,5093.51,2011.27
02-13-15,5088.38,2023.03
02-12-15,5043.7700000000004,2028.26
02-11-15,4972.78,2044.81
02-10-15,5003.05,2062.14
02-09-15,4996.01,2025.9
02-06-15,5010.76,2002.61
02-05-15,5035.62,2020.58
02-04-15,5021.5200000000004,2058.1999999999998
02-03-15,4993.6099999999997,2058.9
02-02-15,4948.03,2080.35
01-30-15,4916.49,2090.5700000000002
01-29-15,4943.08,2088.77
01-28-15,4972.93,2081.88
01-27-15,4993.46,2082.17
01-26-15,4952.58,2078.54
01-23-15,4941.05,2070.65
